Entrega;Destinatario mcía.;Nombre destinatario de mercancías;Documento compras;Material;Descripción de posición;Posición;Cantidad entrega;Un.medida venta;Fe.prefer.entrega;Peso total;Unidad de peso;Volumen;Unidad de volumen;Fecha de creación de entrega;Estado de picking;Fecha de picking;Modificado el;Grupo;Fecha de creación;Creado por;Descripción;Fe.mov.mcía.real;Organización ventas;Categoría posición;Lote;Almacén;Centro;Prioridad de entrega;Estado de picking
8600007684;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007895;8712;TOYOTA HILUX CD SR 2.8 TDI 6 M/T 4X4;11;1;UN;10/3/2026;1;KG;0;DM3;12/3/2026;C;10/3/2026;;;;LAREVALO;;10/3/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007683;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007894;4613;CARGADOR FRONTAL BOBCAT S530;11;1;UN;28/2/2026;1;KG;0;DM3;11/3/2026;C;28/2/2026;;;;LAREVALO;;28/2/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007682;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007893;3319;COMPACTADOR BOMAG 100 AD-5;11;1;UN;9/3/2026;1;KG;0;DM3;11/3/2026;C;9/3/2026;;;;LAREVALO;;9/3/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007671;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007882;8403;CARRETON RANDON SR-CT-03;11;1;UN;6/3/2026;12.440;KG;0;DM3;9/3/2026;C;6/3/2026;;;;LAREVALO;;6/3/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007667;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007881;4617;CARGADOR FRONTAL CAT 950L;11;1;UN;18/2/2026;1;KG;0;DM3;9/3/2026;C;18/2/2026;;;;LAREVALO;;18/2/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007657;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007868;5301;"CLASIFICADORA DE ARIDOS &#160;PW CHIEF.2";11;1;UN;18/2/2026;1;KG;0;DM3;6/3/2026;C;18/2/2026;;;;LAREVALO;;18/2/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007648;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007859;8113;CAMION VOLCADOR VOL FM 460 6X4 (17 MTS3);11;1;UN;3/3/2026;12.700;KG;0;DM3;4/3/2026;C;3/3/2026;;;;LAREVALO;;3/3/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007647;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007858;8113;CAMION VOLCADOR VOL FM 460 6X4 (17 MTS3);11;1;UN;3/3/2026;12.700;KG;0;DM3;4/3/2026;C;3/3/2026;;;;LAREVALO;;3/3/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007642;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007853;8118;CAMION VOLCADOR ASTRA HD9 8X4 (22MTS3);11;1;UN;2/3/2026;12.900;KG;0;DM3;3/3/2026;C;2/3/2026;;;;LAREVALO;;2/3/2026;MMAP;ZDEQ;;MM05;MM01;0;C
8600007641;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007852;8118;CAMION VOLCADOR ASTRA HD9 8X4 (22MTS3);11;1;UN;2/3/2026;12.900;KG;0;DM3;3/3/2026;C;2/3/2026;;;;LAREVALO;;2/3/2026;MMAP;ZDEQ;;MM05;MM01;0;C
8600007640;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007851;8118;CAMION VOLCADOR ASTRA HD9 8X4 (22MTS3);11;1;UN;2/3/2026;12.900;KG;0;DM3;3/3/2026;C;3/3/2026;;;;LAREVALO;;2/3/2026;MMAP;ZDEQ;;MM05;MM01;0;C
8600007639;9000000023;00314 CASA Olavarría;1600007850;1013232;SOLDADORA ELECTRICA 600000891;11;1;UN;10/3/2026;0;KG;0;DM3;3/3/2026;C;3/3/2026;9/3/2026;;;ANAVARRO;;9/3/2026;MLAP;ZDEQ;LOTEINICIA;MR02;MR01;0;C
8600007638;9000000023;00314 CASA Olavarría;1600007849;3922;BALDE VOLVO;11;1;UN;27/2/2026;1;KG;0;DM3;2/3/2026;C;27/2/2026;2/3/2026;;;ACEJAS;;27/2/2026;MLAP;ZDEQ;;MR05;MR01;0;C
8600007632;9000000120;00368-YPF Acueducto TBH;1600007843;8113;CAMION VOLCADOR VOL FM 460 6X4 (17 MTS3);11;1;UN;24/2/2026;12.700;KG;0;DM3;2/3/2026;C;24/2/2026;;;;LAREVALO;;24/2/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007630;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007841;8611;TOYOTA HILUX CD SR 2.4 TDI 6 M/T 4X2;11;1;UN;4/2/2026;1;KG;0;DM3;27/2/2026;C;4/2/2026;;;;LAREVALO;;4/2/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007623;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007834;1013264;HORNO PARA MUESTRAS 600000976;11;1;UN;28/2/2026;0;KG;0;DM3;23/2/2026;C;23/2/2026;23/2/2026;;;ARIVERO;;23/2/2026;MLAP;ZDEQ;0000110702;MR07;MR01;0;C
8600007619;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007833;4617;CARGADOR FRONTAL CAT 950L;11;1;UN;11/2/2026;1;KG;0;DM3;23/2/2026;C;11/2/2026;;;;LAREVALO;;11/2/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007598;9000000120;00368-YPF Acueducto TBH;1600007812;6725;TORRE DE ILUMINACION HIMOINSA LTA 8V LED;11;1;UN;6/2/2026;800;KG;0;DM3;13/2/2026;C;6/2/2026;;;;LAREVALO;;6/2/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007597;9000000120;00368-YPF Acueducto TBH;1600007811;7801;CAMION REGADOR VW 26-280 DC 6X4;11;1;UN;12/2/2026;1;KG;0;DM3;13/2/2026;C;12/2/2026;;;;LAREVALO;;12/2/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007587;9000000120;00368-YPF Acueducto TBH;1600007801;7809;CAMION REGADOR VW 31-320 6X4;11;1;UN;6/2/2026;1;KG;0;DM3;9/2/2026;C;6/2/2026;;;;LMANSILLA;;6/2/2026;MLAP;ZDEQ;;MR06;MR01;0;C
8600007565;9000000033;00341 Mov. Suelos San Luis;1600007779;6601;CAMION ARTICULADO VOLVO A40F/G;11;1;UN;5/1/2026;1;KG;0;DM3;3/2/2026;C;5/1/2026;;;;LAREVALO;;5/1/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007547;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007761;7102;GRUA GROVE RT 540 E;11;1;UN;22/1/2026;1;KG;0;DM3;26/1/2026;C;22/1/2026;;;;LMANSILLA;;22/1/2026;MLAP;ZDEQ;;MR07;MR01;0;C
8600007528;9000000120;00368-YPF Acueducto TBH;1600007741;6304;"Curvadora Vietz EV6-24""";11;1;UN;14/1/2026;9.000;KG;0;DM3;19/1/2026;C;14/1/2026;;;;LMANSILLA;;14/1/2026;MLAP;ZDEQ;;MR06;MR01;0;C
8600007528;9000000120;00368-YPF Acueducto TBH;1600007741;3953;"Cuna para Curvadora Vietz EV6-24""";21;1;UN;14/1/2026;1;KG;0;DM3;19/1/2026;C;14/1/2026;;;;LMANSILLA;;14/1/2026;MLAP;ZDEQ;;MR06;MR01;0;C
8600007528;9000000120;00368-YPF Acueducto TBH;1600007741;3951;"Mandril para Curvadora EV6-24""";31;1;UN;14/1/2026;1;KG;0;DM3;19/1/2026;C;14/1/2026;;;;LMANSILLA;;14/1/2026;MLAP;ZDEQ;;MR06;MR01;0;C
8600007522;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007735;1013264;HORNO PARA MUESTRAS 600000975;11;1;UN;30/1/2026;1;KG;0;DM3;14/1/2026;C;30/1/2026;23/1/2026;;;CBAREA;;23/1/2026;MLAP;ZDEQ;5968R;MR07;MR01;0;C
8600007517;9000000120;00368-YPF Acueducto TBH;1600007730;8712;TOYOTA HILUX CD SR 2.8 TDI 6 M/T 4X4;11;1;UN;9/1/2026;1;KG;0;DM3;13/1/2026;C;9/1/2026;;;;LMANSILLA;;9/1/2026;MLAP;ZDEQ;;MR05;MR01;0;C
8600007514;9000000033;00341 Mov. Suelos San Luis;1600007727;8114;CAMION VOLCADOR VOL VM 330 6X4 (17MTS3);11;1;UN;9/1/2026;10.200;KG;0;DM3;12/1/2026;C;9/1/2026;;;;LMANSILLA;;9/1/2026;MLAP;ZDEQ;;MR05;MR01;0;C
8600007511;9000000023;00314 CASA Olavarría;1600007724;6716;TORRE DE ILUMINACION WAKER NEUSON LTN 6L;11;1;UN;9/1/2026;1;KG;0;DM3;10/1/2026;C;9/1/2026;;;;ACEJAS;;9/1/2026;MLAP;ZDEQ;;MR05;MR01;0;C
8600007510;9000000023;00314 CASA Olavarría;1600007723;3922;BALDE VOLVO;11;1;UN;9/1/2026;1;KG;0;DM3;10/1/2026;C;9/1/2026;;;;ACEJAS;;9/1/2026;MLAP;ZDEQ;;MR05;MR01;0;C
8600007507;9000000033;00341 Mov. Suelos San Luis;1600007720;8610;VOLKSWAGEN AMAROK 2.0L TDI 180 CV 4X2;11;1;UN;9/1/2026;2.900;KG;0;DM3;9/1/2026;C;9/1/2026;;;;LMANSILLA;;9/1/2026;MLAP;ZDEQ;;MR05;MR01;0;C
8600007505;9000000025;00223 Comp Amb Santa Fe;1600007718;8704;TOYOTA HILUX CABINA DOBLE 3.0 TDI 4X4;11;1;UN;7/1/2026;1;KG;0;DM3;8/1/2026;C;7/1/2026;;;;LMANSILLA;;7/1/2026;MLAP;ZDEQ;;V05;MR01;0;C
8600007488;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007703;4411;TOPADOR JD 850 J;11;1;UN;31/12/2025;1;KG;0;DM3;2/1/2026;C;31/12/2025;;;;LAREVALO;;31/12/2025;MLAP;ZDEQ;;MR07;MR01;0;C
8600007449;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007665;7802;CAMION REGADOR VOL FM 460 6X4;11;1;UN;9/12/2025;1;KG;0;DM3;22/12/2025;C;9/12/2025;;;;LAREVALO;;9/12/2025;MLAP;ZDEQ;;MR07;MR01;0;C
8600007437;9000000023;00314 CASA Olavarría;1600007654;6716;TORRE DE ILUMINACION WAKER NEUSON LTN 6L;11;1;UN;11/12/2025;1;KG;0;DM3;16/12/2025;C;11/12/2025;;;;ACEJAS;;11/12/2025;MLAP;ZDEQ;;MR05;MR01;0;C
8600007436;9000000023;00314 CASA Olavarría;1600007653;6716;TORRE DE ILUMINACION WAKER NEUSON LTN 6L;11;1;UN;11/12/2025;1;KG;0;DM3;16/12/2025;C;11/12/2025;;;;ACEJAS;;11/12/2025;MLAP;ZDEQ;;MR05;MR01;0;C
8600007435;9000000023;00314 CASA Olavarría;1600007652;8117;CAMION VOLCADOR VOL FM 460 8X4R;11;1;UN;11/12/2025;12.500;KG;0;DM3;16/12/2025;C;11/12/2025;;;;ACEJAS;;11/12/2025;MLAP;ZDEQ;;MR05;MR01;0;C
8600007428;9000000025;00223 Comp Amb Santa Fe;1600007645;8712;TOYOTA HILUX CD SR 2.8 TDI 6 M/T 4X4;11;1;UN;11/12/2025;1;KG;0;DM3;15/12/2025;C;11/12/2025;;;;ACEJAS;;11/12/2025;MLAP;ZDEQ;;MR05;MR01;0;C
8600007424;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007641;8712;TOYOTA HILUX CD SR 2.8 TDI 6 M/T 4X4;11;1;UN;12/12/2025;1;KG;0;DM3;15/12/2025;C;12/12/2025;;;;LAREVALO;;12/12/2025;MLAP;ZDEQ;;MR07;MR01;0;C
8600007421;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007638;8712;TOYOTA HILUX CD SR 2.8 TDI 6 M/T 4X4;11;1;UN;30/11/2025;1;KG;0;DM3;12/12/2025;C;30/11/2025;;;;LAREVALO;;30/11/2025;MLAP;ZDEQ;;MR07;MR01;0;C
8600007394;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007609;7802;CAMION REGADOR VOL FM 460 6X4;11;1;UN;4/12/2025;1;KG;0;DM3;5/12/2025;C;4/12/2025;;;;LAREVALO;;4/12/2025;MLAP;ZDEQ;;MR07;MR01;0;C
8600007392;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007606;4410;TOPADOR CAT D6 T XL;11;1;UN;2/12/2025;1;KG;0;DM3;5/12/2025;C;2/12/2025;;;;LAREVALO;;2/12/2025;MLAP;ZDEQ;;MR07;MR01;0;C
8600007385;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007601;6726;GRUPO ELECTROGENO ONAN CUMMINS C150D5;11;1;UN;27/11/2025;1;KG;0;DM3;4/12/2025;C;27/11/2025;;;;LAREVALO;;3/12/2025;MMAP;ZDEQ;;MM05;MM01;0;C
8600007378;9000000023;00314 CASA Olavarría;1600007595;7003;CAMION CISTERNA COMB. VOL FM 460 6X4;11;1;UN;2/12/2025;1;KG;0;DM3;3/12/2025;C;2/12/2025;;;;ACEJAS;;2/12/2025;MLAP;ZDEQ;;MR05;MR01;0;C
8600007323;9000000023;00314 CASA Olavarría;1600007555;7001;CAMION CISTERNA COMB. VW 31-280 DC 6X4;11;1;UN;26/11/2025;1;KG;0;DM3;28/11/2025;C;26/11/2025;;;;LMANSILLA;;26/11/2025;MLAP;ZDEQ;;MR05;MR01;0;C
8600007321;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007553;4410;TOPADOR CAT D6 T XL;11;1;UN;24/11/2025;1;KG;0;DM3;28/11/2025;C;24/11/2025;;;;LMANSILLA;;24/11/2025;MLAP;ZDEQ;;MR05;MR01;0;C
8600007254;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007433;8113;CAMION VOLCADOR VOL FM 460 6X4 (17 MTS3);11;1;UN;20/11/2025;12.700;KG;0;DM3;21/11/2025;C;20/11/2025;;;;LAREVALO;;20/11/2025;MLAP;ZDEQ;;MR07;MR01;0;C
8600007240;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007411;1016192;RADIO HANDY EXCLUSIVA 100003264;11;1;UN;28/11/2025;1;KG;0;DM3;19/11/2025;C;28/11/2025;;;;JMORENO;;19/11/2025;MLAP;ZDEQ;LOTEINICIA;MR07;MR01;0;C
8600007239;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007410;1016192;RADIO HANDY EXCLUSIVA 100004251;11;1;UN;28/11/2025;1;KG;0;DM3;19/11/2025;C;28/11/2025;;;;JMORENO;;19/11/2025;MLAP;ZDEQ;LOTEINICIA;MR07;MR01;0;C
8600007239;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007410;1016192;RADIO HANDY EXCLUSIVA 600000547;21;1;UN;28/11/2025;1;KG;0;DM3;19/11/2025;C;28/11/2025;;;;JMORENO;;19/11/2025;MLAP;ZDEQ;LOTEINICIA;MR07;MR01;0;C
8600007239;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007410;1016192;RADIO HANDY EXCLUSIVA 600001001;31;1;UN;28/11/2025;1;KG;0;DM3;19/11/2025;C;28/11/2025;;;;JMORENO;;19/11/2025;MLAP;ZDEQ;1501R;MR07;MR01;0;C
8600007239;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007410;1016192;RADIO HANDY EXCLUSIVA 600005960;41;1;UN;28/11/2025;1;KG;0;DM3;19/11/2025;C;28/11/2025;;;;JMORENO;;19/11/2025;MLAP;ZDEQ;1507R;MR07;MR01;0;C
8600007239;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007410;1016192;RADIO HANDY EXCLUSIVA 600006017;51;1;UN;28/11/2025;1;KG;0;DM3;19/11/2025;C;28/11/2025;;;;JMORENO;;19/11/2025;MLAP;ZDEQ;1803R;MR07;MR01;0;C
8600007197;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007376;1013284;ANEMOMETRO 100004630;21;1;UN;12/11/2025;1;KG;0;DM3;12/11/2025;C;12/11/2025;;;;JMORENO;;12/11/2025;MLAP;ZDEQ;LOTEINICIA;MR07;MR01;0;C
8600007192;9000000033;00341 Mov. Suelos San Luis;1600007371;8712;TOYOTA HILUX CD SR 2.8 TDI 6 M/T 4X4;11;1;UN;9/11/2025;1;KG;0;DM3;11/11/2025;C;9/11/2025;;;;ACEJAS;;9/11/2025;MLAP;ZDEQ;;MR05;MR01;0;C
8600007190;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007368;7802;CAMION REGADOR VOL FM 460 6X4;11;1;UN;8/11/2025;1;KG;0;DM3;10/11/2025;C;8/11/2025;;;;LAREVALO;;8/11/2025;MLAP;ZDEQ;;MR07;MR01;0;C
8600007188;9000000151;0376 VELADERO FASE 8B /SAN JUAN;1600007366;1013273;PRENSA 600000844;11;1;UN;10/11/2025;1;KG;0;DM3;8/11/2025;C;10/11/2025;10/11/2025;;;CBAREA;;10/11/2025;MLAP;ZDEQ;0000130599;MR07;MR01;0;C
8600007186;9000000120;00368-YPF Acueducto TBH;1600007364;6804;MOTOCOMPRESOR SULLAIR 185 CFM;11;1;UN;31/7/2025;1;KG;0;DM3;6/11/2025;C;31/7/2025;;;;ACEJAS;;6/11/2025;MLAP;ZDEQ;;MR05;MR01;0;C
8600007171;9000000025;00223 Comp Amb Santa Fe;1600007351;8113;CAMION VOLCADOR VOL FM 460 6X4 (17 MTS3);11;1;UN;31/10/2025;12.700;KG;0;DM3;4/11/2025;C;31/10/2025;;;;ACEJAS;;31/10/2025;MLAP;ZDEQ;;MR05;MR01;0;C
8600007170;9000000025;00223 Comp Amb Santa Fe;1600007350;8114;CAMION VOLCADOR VOL VM 330 6X4 (17MTS3);11;1;UN;31/10/2025;10.200;KG;0;DM3;4/11/2025;C;31/10/2025;;;;ACEJAS;;31/10/2025;MLAP;ZDEQ;;MR05;MR01;0;C
8600007151;9000000025;00223 Comp Amb Santa Fe;1600007331;3802;RASTRA DE DISCO;11;1;UN;31/10/2025;1;KG;0;DM3;3/11/2025;C;31/10/2025;;;;ACEJAS;;31/10/2025;MLAP;ZDEQ;;MR05;MR01;0;C
8600007150;9000000025;00223 Comp Amb Santa Fe;1600007330;6725;TORRE DE ILUMINACION HIMOINSA LTA 8V LED;11;1;UN;31/10/2025;800;KG;0;DM3;3/11/2025;C;31/10/2025;;;;ACEJAS;;31/10/2025;MLAP;ZDEQ;;MR05;MR01;0;C
8600007148;9000000025;00223 Comp Amb Santa Fe;1600007328;4616;CARGADOR FRONTAL JD 524 K;11;1;UN;1/11/2025;1;KG;0;DM3;3/11/2025;C;1/11/2025;;;;ACEJAS;;1/11/2025;MLAP;ZDEQ;;MR05;MR01;0;C
8600007147;9000000025;00223 Comp Amb Santa Fe;1600007327;8112;CAMION VOLCADOR IVE TRAKKER 380 T 42 6X4;11;1;UN;31/10/2025;15.000;KG;0;DM3;3/11/2025;C;31/10/2025;;;;ACEJAS;;31/10/2025;MLAP;ZDEQ;;MR05;MR01;0;C
8600007146;9000000025;00223 Comp Amb Santa Fe;1600007326;8115;CAMION VOLCADOR IVE TRAKKER 410 T 44 6X4;11;1;UN;31/10/2025;12.900;KG;0;DM3;3/11/2025;C;31/10/2025;;;;ACEJAS;;31/10/2025;MLAP;ZDEQ;;MR05;MR01;0;C
